title,location,month,year
Contemporary Art Asia: Hong Kong Edition,Hong Kong,May,2018
Fine Chinese Modern Paintings,Hong Kong,May,2018
Hong Kong Magnificent Jewels,Hong Kong,May,2018
Livres rares et Manuscrits,Paris,May,2018
Chinese Contemporary Ink,Hong Kong,May,2018
Exquisite Eye: Chinese Paintings Online,Hong Kong,May,2018
Fine Chinese Classical Paintings and Calligraphy,Hong Kong,May,2018
Important Watches and Private Collections,Hong Kong,May,2018
Asian 20th Century Art (Day Sale),Hong Kong,May,2018
Asian Contemporary Art (Day Sale),Hong Kong,May,2018
Asian 20th Century & Contemporary Art (Evening Sale) / Contemporaries: Voices from East and West (Evening Sale),Hong Kong,May,2018
Online: Handpicked 50 Works selected by the Saatchi Gallery,London,June,2018
Handpicked: 50 Works Selected by the Saatchi Gallery,London,June,2018
Post-War to Present,London,June,2018
Futur antérieur : la Collection d'Art africain de Liliane et Michel Durand-Dessert,Paris,June,2018
Picasso Ceramics,London,June,2018
Christie's Watches Online: Summer Watch Series - Part I,New York,June,2018
Impressionist and Modern Art Day Sale,London,June,2018
Impressionist and Modern Works on Paper,London,June,2018
Design,New York,June,2018
Impressionist and Modern Art Evening Sale,London,June,2018
Modern British Art Day Sale,London,June,2018
Tableaux 1400 - 1900,Paris,June,2018
Un Autre XXème Siècle: les arts de la figuration 1900-1950,Paris,June,2018
Handbags & Accessories,New York,June,2018
Modern British Art Evening Sale,London,June,2018
Sculpture et Objets d'Art Européens,Paris,June,2018
"Finest Wines and Spirits Featuring Superb Burgundy, a Collection of Château Lafleur and Other Guinaudeau Family Estate Wines",New York,June,2018
Christie's Jewels Online,New York,June,2018
"Fine Printed Books & Manuscripts, Including Americana",New York,June,2018
The Portland Audubon,New York,June,2018
Christie's Wine Online,New York,July,2018
"Edition Gerd Hatje: Contemporary Photographs, Prints & Multiples",London,July,2018
MoMA: Tracing Photography's History,New York,July,2018
"The Art of China: London, Summer Edition",London,July,2018
First Open Online: Post-War and Contemporary Art,New York,July,2018
"The Art of China: New York, Summer Edition",New York,July,2018
Contemporary Edition,New York,July,2018
19th Century European & Orientalist Art,London,July,2018
Christie's Watches Online: Summer Watch Series Part II,New York,July,2018
From Artist to Woodblock: Japanese Prints Online,London,July,2018
Quentin Blake: A Retrospective,London,July,2018
Valuable Books and Manuscripts,London,July,2018
Victorian Pre-Raphaelite & British Impressionist Art,London,July,2018
Science and Natural History,London,July,2018
Old Masters Day Sale,London,July,2018
Old Masters Evening Sale,London,July,2018
The Exceptional Sale 2018,London,July,2018
Thomas Chippendale: 300 Years,London,July,2018
Gold Boxes,London,July,2018
Treasured Portraits from the Collection of Ernst Holzscheiter,London,July,2018
Horizon | Post-War and Contemporary Art,New York,August,2018
The Collection of Melva Bucksbaum: Decorative Arts and Design,New York,August,2018
Interiors,New York,August,2018
Close to Home: Christie's Staff Art Show,New York,August,2018
Post-War to Present,New York,September,2018
Contemporary Edition,London,September,2018
"Rooms as Portraits: Michael S. Smith; A Tale of Two Cities, New York & Los Angeles",New York,September,2018
20th Century & Contemporary Art (Evening Sale),Shanghai,September,2018
FIRST OPEN | Shanghai,Shanghai,September,2018
Treasures of Chishui River - Kweichow Moutai,Shanghai,September,2018
Christie's Watches Online: Falling for Time,New York,September,2018
First Open Online,London,September,2018
Prints and Multiples,London,September,2018
Swiss Art Sale,Zürich,September,2018
What Goes Around Comes Around 25th Anniversary Auction,New York,September,2018
Fine Chinese Ceramics and Works of Art,New York,September,2018
Fine Chinese Jade Carvings from Private Collections,New York,September,2018
Interiors,London,September,2018
Masterpieces of Cizhou Ware: The Linyushanren Collection Part IV,New York,September,2018
"Indian, Himalayan and Southeast Asian Works of Art",New York,September,2018
"Rooms as Portraits: Michael S. Smith, Eaton Square, London",London,September,2018
South Asian Modern + Contemporary Art,New York,September,2018
The Ruth and Carl Barron Collection of Fine Chinese Snuff Bottles: Part VI,New York,September,2018
Christie's Wine Online/HKG,Hong Kong,September,2018
Antiquities,New York,October,2018
European Art: Part I,New York,October,2018
European Art: Part II,New York,October,2018
Arts d'Afrique d'Océanie et d'Amérique,Paris,October,2018
Chefs-d'Oeuvre d'Art Africain et Océanien de la Collection Adolphe Stoclet,Paris,October,2018
Old Masters,New York,October,2018
Property from the Estate of Eugene V. Thaw,New York,October,2018
Art of the Islamic and Indian Worlds Including Oriental Rugs and Carpets,London,October,2018
Prints & Multiples,New York,October,2018
"Middle Eastern, Modern and Contemporary Art",London,October,2018
"The Collection of Melva Bucksbaum: Post-War and Contemporary Art, Photographs and Prints",New York,October,2018
"The Collector: English and European 18th and 19th Century Furniture, Ceramics, Silver & Works of Art",New York,October,2018
Art Moderne,Paris,October,2018
She Was a Giant Collection Bénédicte Pesle,Paris,October,2018
Design,London,October,2018
Paris Avant-Garde,Paris,October,2018
Thinking Italian Design,London,October,2018
A GOLDEN AGE: An Important Collection of 19th Century Furniture & Decorative Art,New York,October,2018
Fine & Rare Wines,London,October,2018
Christie's Wine Online/NYC,New York,October,2018
Finest & Rarest Wines & Spirits,London,November,2018
Chinese Archaic Jades From The Yangdetang Collection PART II,Hong Kong,November,2018
Handbags & Accessories,Hong Kong,November,2018
Important Chinese Ceramics and Works of Art,Hong Kong,November,2018
Important Jewels,London,November,2018
Latin American Online,New York,November,2018
Multifarious Colours - Three Enamelled Qianlong Masterpieces,Hong Kong,November,2018
Russian Literary First Editions & Manuscripts: Highlights from the R. Eden Martin Collection,London,November,2018
The Collector: Le Goût Français,Paris,November,2018
Contemporary Art Asia: Hong Kong Edition,Hong Kong,November,2018
Fine Chinese Classical Paintings and Calligraphy,Hong Kong,November,2018
Fine Chinese Modern Paintings,Hong Kong,November,2018
Hong Kong Magnificent Jewels,Hong Kong,November,2018
Post-War & Contemporary Art,Amsterdam,November,2018
The Exceptional Sale,Paris,November,2018
The Meiji Aesthetic: Selected Masterpieces from a Private Asian Collection,Hong Kong,November,2018
Beyond Compare: A Thousand Years of the Literati Aesthetic (Evening Sale),Hong Kong,November,2018
Chinese Contemporary Ink,Hong Kong,November,2018
Exquisite Eye: Chinese Paintings Online,Hong Kong,November,2018
Important Russian Art,London,November,2018
C'est fou!,Paris,December,2018
Topographical Pictures with Australian Art,London,December,2018
An Adventurous Spirit: An Important Private Collection Sold to Benefit a Charitable Foundation,London,December,2018
Design,New York,December,2018
Masterpieces in Glass: The Nakamoto Collection,New York,December,2018
Property from the Collection of Harry W. and Mary Margaret Anderson Online,New York,December,2018
"The Art of China: London, Winter Edition",London,December,2018
Art d'Asie,Paris,December,2018
First Open Online: Post-War and Contemporary Art,New York,December,2018
Handbags & Accessories,London,December,2018
"The Art of China: New York, Winter Edition",New York,December,2018
Valuable Books and Manuscripts,London,December,2018
Art of Japan Online,London,December,2018
"British Art: Victorian, Pre Raphaelite & British Impressionist Art",London,December,2018
European Art,London,December,2018
Interiors,New York,December,2018
Christie's Watches Online: Winter Holiday Sale,New York,December,2018
"Finest Wines and Spirits, Including The Liberty Hall Museum Collection of Historic Madeira and an Extraordinary Collection of Pre-Prohibition Whiskey",New York,December,2018
Jewels Online,New York,December,2018
Old Masters Day Sale,London,December,2018
Old Master & British Drawings,New York,January,2019
Catherine Deneuve and Yves Saint Laurent Online,London,January,2019
Peter Petrou: Tales of the Unexpected,London,January,2019
Interiors,London,January,2019
Old Master Prints,New York,January,2019
Catherine Deneuve et Yves Saint-Laurent,Paris,January,2019
China from China,New York,January,2019
"Important American Furniture, Folk Art, Silver and Prints",New York,January,2019
Outsider and Vernacular Art,New York,January,2019
"Chinese Export Art Featuring the Hodroff Collection, Part IV",New York,January,2019
Little Cassiobury: The Collection of Susan Lyall,New York,January,2019
Impressionist and Modern Art Day Sale,London,February,2019
Impressionist and Modern Works on Paper,London,February,2019
Post-War to Present,New York,February,2019
Contemporary Edition,New York,February,2019
Hidden Treasures: Impressionist & Modern Masterpieces from an Important Private Collection,London,February,2019
Impressionist and Modern Art Evening Sale,London,February,2019
The Art Of The Surreal Evening Sale,London,February,2019
On Paper | Online,New York,February,2019
The Art of China: Including Private English Collections,London,February,2019
Bibliothèque Marc Litzler,Paris,February,2019
Christie's Jewels Online,New York,February,2019
"Deep Impact: Martian, Lunar and other Rare Meteorites",New York,February,2019
First Open | Hong Kong,Hong Kong,March,2019
Impressionist & Modern Art,Paris,March,2019
Handpicked: 50 works selected by the Saatchi Gallery - Online,London,March,2019
"Oeuvres Modernes sur papier, incluant des oeuvres de la collection Jean Bonna",Paris,March,2019
Dessins Anciens et du XIXème incluant des oeuvres de la collection Jean Bonna,Paris,March,2019
Handpicked: 50 works selected by the Saatchi Gallery,London,March,2019
Contemporary Clay: Yixing Pottery from the Irving Collection,New York,March,2019
Middle Eastern Modern & Contemporary Art,Dubai,March,2019
Fine Chinese Ceramics & Works of Art,New York,March,2019
Important Watches,Dubai,March,2019
Power and Prestige: Important Early Chinese Ritual Bronzes from a Distinguished European Collection,New York,March,2019
"Lacquer, Jade, Bronze, Ink: The Irving Collection Day Sale",New York,March,2019
Prints & Multiples,London,March,2019
Fine and Rare Wines Including Rare Burgundy to Benefit Maison Jacques Copeau,London,March,2019
"Indian, Himalayan & Southeast Asian Works of Art",New York,March,2019
"Lacquer, Jade, Bronze, Ink: The Irving Collection Evening Sale",New York,March,2019
South Asian Modern + Contemporary Art,New York,March,2019
Fine Chinese Paintings,New York,March,2019
Japanese and Korean Art,New York,March,2019
Fine & Rare Wines Featuring a Prestigious Private Collection,Hong Kong,March,2019
Post-War & Contemporary Art,Amsterdam,May,2019
European Art,New York,April,2019
The Desmarais Collection: A pied-à-terre in New York,New York,April,2019
Antiquities,New York,April,2019
Masterpieces in Miniature: Ancient Engraved Gems formerly in the G. Sangiorgi Collection,New York,April,2019
Orientalist Art,London,April,2019
Vente de Charité « Les Étoiles de la Source »,Paris,April,2019
Christie's Jewels Online,New York,April,2019
Christie's Wine Online/London,London,April,2019
Prints & Multiples,New York,April,2019
The Collector : Le Goût Français,Paris,April,2019
Hommage à Serge Royaux,Paris,April,2019
Magnificent Jewels,New York,April,2019
Feelings in Colour: The Graphic Art of Howard Hodgkin,London,April,2019
First Open | Online,London,April,2019
"Art d'Afrique, d'Océanie et d'Amérique du Nord",Paris,April,2019
Interiors: Including Noble & Private Collections,London,April,2019
The Tibor Collection: A Noble Eye for Chinese Export,New York,April,2019
Christie's Wine Online/ NYC,New York,April,2019
Collection Félix et Heidi Stoll et à divers amateurs,Paris,April,2019
Four Masterpieces of Jun Ware,Hong Kong,May,2019
Glories of Buddhist Art,Hong Kong,May,2019
Handbags & Accessories,Hong Kong,May,2019
Important Chinese Ceramics and Works of Art,Hong Kong,May,2019
Latin American Art Online,New York,May,2019
Leisurely Delights,Hong Kong,May,2019
The Baofang Pavilion Collection of Imperial Ceramics,Hong Kong,May,2019
Christie's Watches Online: Spring Fever,Hong Kong,May,2019
Contemporary Art Asia,Hong Kong,May,2019
Fine Chinese Modern Paintings,Hong Kong,May,2019
Hong Kong Magnificent Jewels,Hong Kong,May,2019
Chinese Contemporary Ink,Hong Kong,May,2019
Exquisite Eye: Chinese Paintings Online,Hong Kong,May,2019
Fine Chinese Classical Paintings and Calligraphy Including Property from the Chokaido Museum Collection,Hong Kong,May,2019
Important Watches,Hong Kong,May,2019
20th Century & Contemporary Art (Afternoon Session),Hong Kong,May,2019
20th Century & Contemporary Art (Morning Session),Hong Kong,May,2019
20th Century & Contemporary Art (Evening Sale),Hong Kong,May,2019
Finest & Rarest Wines and Spirits Featuring Prestigious Collections & Exceptional Whisky,Hong Kong,May,2019
ICONOCLAST,Hong Kong,May,2019
The Art of China: Summer Edition,New York,June,2019
Post-War and Contemporary Art Day Auction,London,June,2019
Christie's Watches Online: Time to Travel,New York,June,2019
Post-War and Contemporary Art Evening Auction,London,June,2019
Sculpture et Objets d'Art européens,Paris,June,2019
Tableaux anciens et du XIXème siècle,Paris,June,2019
Picasso Ceramics,London,June,2019
The David Gilmour Guitar Collection,New York,June,2019
The Landscape of a Mind: A Private Collector's Surreal Vision,London,June,2019
Icons of Glamour & Style : The Constantiner Collection,Paris,June,2019
Impressionist & Modern Art Day Sale,London,June,2019
Impressionist and Modern Works on Paper,London,June,2019
Interiors: Fine Art Online,New York,June,2019
Maharajas & Mughal Magnificence,New York,June,2019
An Important Private Collection of Kashmir Shawls,London,June,2019
Impressionist and Modern Art Evening Sale,London,June,2019
Modern British Art Day Sale,London,June,2019
Modern British Art Evening Sale,London,June,2019
Handbags & Accessories,New York,June,2019
Fine Jewels,Paris,June,2019
Christie's Wine Online/NYC,New York,July,2019
The Moon and Beyond: Meteorites from the Stifler Collection,New York,July,2019
"Photographs: New York, New York",New York,July,2019
One Giant Leap: Celebrating Space Exploration 50 Years after Apollo 11,New York,July,2019
First Open | Online,New York,July,2019
Contemporary Edition,New York,July,2019
British & European Art: European Art,London,July,2019
"British & European Art: Victorian, Pre-Raphaelite & British Impressionist Art",London,July,2019
From Artist to Woodblock: Japanese Prints,London,July,2019
The History of Western Script: Important Antiquities and Manuscripts from the Schøyen Collection,London,July,2019
Valuable Books and Manuscripts,London,July,2019
Important Scientific Books from the Collection of Peter and Margarethe Braune,London,July,2019
Meissen Porcelain from a Private German Collection,London,July,2019
The Golden Age of Russian Literature: A Private European Collection,London,July,2019
Bibliothèque Paul Destribats - 1ère partie,Paris,July,2019
Old Masters Day Sale,London,July,2019
Masterpieces from a Rothschild Collection,London,July,2019
Old Masters Evening Sale,London,July,2019
The Exceptional Sale,London,July,2019
Antiquities,London,July,2019
Chinese and Japanese Export Silver Online: Property from the Collection of Myrna and Bernard Posner,New York,August,2019
Interiors,New York,August,2019
Christie's Watches Online: The Keystone Collection,New York,August,2019
Art from Within: Staff Show,London,August,2019
Inside Job: Christie's Staff Art Show,New York,August,2019
Jewels Online,New York,September,2019
Post-War to Present,New York,September,2019
Thirtyfive Works by Ed Ruscha,New York,September,2019
Contemporary Art Asia: Including a Collection of Works by Léonard Tsuguharu Foujita,New York,September,2019
Contemporary Edition,London,September,2019
Banksy: I can't believe you morons actually buy this sh*t,London,September,2019
20th Century & Contemporary Art (Evening Sale),Shanghai,September,2019
FIRST OPEN | Shanghai: Living With Art,Shanghai,September,2019
The Spirit Of China - Kweichow Moutai,Shanghai,September,2019
First Open | Online,London,September,2019
Gods and Guardians: South Asian Works of Art,New York,September,2019
"Visions of Collecting: Royal and Aristocratic, An Important Private Collection",London,September,2019
Prints & Multiples,London,September,2019
Chinese Art from The Art Institute of Chicago  Online,New York,September,2019
Swiss Art,Zürich,September,2019
Important Chinese Ceramics and Works of Art,New York,September,2019
Chinese Art from The Art Institute of Chicago,New York,September,2019
Masterpieces of Early Chinese Gold and Silver,New York,September,2019
"Indian, Himalayan & Southeast Asian Works of Art",New York,September,2019
Interiors Including Posters,London,September,2019
"Splendors - Chefs-d'oeuvre d'Afrique, d'Amérique du Nord et d'Océanie",Paris,October,2019
Fifth Avenue Grandeur: Important French Furniture from the Collection of Lewis and Ali Sanders,New York,October,2019
Old Master Paintings and Sculpture,New York,October,2019
Old Masters: Property from a Private Collection,New York,October,2019
The Exceptional Sale,New York,October,2019
Topographical Pictures including Selections from the Kelton Collection,London,October,2019
Antiquities,New York,October,2019
European Art Part I,New York,October,2019
European Art Part II,New York,October,2019
Faces of the Past: Ancient Sculpture from the Collection of Dr. Anton Pestalozzi,New York,October,2019
Fine Printed Books and Manuscripts Including Americana,New York,October,2019
The Oliver Hoare Collection,London,October,2019
Art of the Islamic and Indian Worlds Including Oriental Rugs and Carpets,London,October,2019
Graphicstudio Online,New York,October,2019
"Middle Eastern, Modern and Contemporary Art",London,October,2019
Prints & Multiples,New York,October,2019
Art Moderne,Paris,October,2019
Fine & Rare Wines,London,October,2019
Paris Avant-Garde,Paris,October,2019
The Collection of Lee Bouvier Radziwill,New York,October,2019
Fine & Rare Wines,London,November,2019
The collector: le goût français,Paris,November,2019
A Dream Realised: Kangxi's Ultimate Falangcai Bowl,Hong Kong,November,2019
An Important Collection Of Chinese Ceramics From A Private Collector,Hong Kong,November,2019
Important Chinese Ceramics and Works of Art,Hong Kong,November,2019
Important Jewels,London,November,2019
On The Studio Desk,Hong Kong,November,2019
Russia: Important Books and Manuscripts,London,November,2019
"The Chang Wei-Hwa Collection of Archaic Jades, Part I - Neolithic Period",Hong Kong,November,2019
"The Exceptional Sale, Paris",Paris,November,2019
The Masterpiece Auction (23 Nov) / Important Watches including an Important Private Asian Collection Part One (27 Nov),Hong Kong,November,2019
Un hôtel particulier à Genève. Architecture et décor par François-Joseph Graf,Paris,November,2019
Bibliothèque de Martine de Béhague et des comtes de Ganay - Première partie,Paris,November,2019
Contemporary Art Asia: Art on the Runway,Hong Kong,November,2019
Fine Chinese Modern Paintings,Hong Kong,November,2019
Hong Kong Magnificent Jewels,Hong Kong,November,2019
Latin American Art Online,New York,November,2019
Post-War & Contemporary Art,Amsterdam,November,2019
Chinese Contemporary Ink,Hong Kong,November,2019
Exquisite Eye: Chinese Paintings Online,Hong Kong,November,2019
First Open | Online,New York,December,2019
Quentin Blake: Not in Books,London,December,2019
Design,New York,December,2019
Finest & Rarest Wines and Spirits,New York,December,2019
Jewels Online,New York,December,2019
Property from descendants of Their Majesties King George V and Queen Mary,London,December,2019
Art d'Asie,Paris,December,2019
"British Art: Victorian, Pre-Raphaelite & British Impressionist Art",London,December,2019
European Art: 19th Century & Orientalist Art,London,December,2019
Important Watches and American Icons,New York,December,2019
IN THE FIELD - An Important Private Collection of Sporting Art,London,December,2019
Fashion Photo,New York,December,2019
"Important Books, Atlases, Globes & Scientific Instruments from the Collection of Nico and Nanni Israel",London,December,2019
Magnificent Jewels,New York,December,2019
Shakespeare and Goethe: Masterpieces of European Literature from the Schøyen Collection,London,December,2019
Un oeil à part : Collections d'un esprit libre,Paris,December,2019
Valuable Books & Manuscripts,London,December,2019
Ansel Adams and the American West: Photographs from the Center for Creative Photography,New York,December,2019
Christie's Watches Online: A Horological Holiday,New York,December,2019
Handbags X HYPE,New York,December,2019
Dressing the Table: Contemporary Fine Dining,London,January,2020
Old Master & British Drawings Including Works from the Collection of Jean Bonna,New York,January,2020
"Important American Furniture, Folk Art and Silver",New York,January,2020
"Chinese Export Art Featuring the Tibor Collection, Part II",New York,January,2020
The Delighted Eye: Works from the Collection of Allen and Beryl Freer,London,January,2020
Modern British Art Day Sale,London,January,2020
Modern British Art Evening Sale,London,January,2020
Outsider Art,New York,January,2020
The Art of China: Spring Edition,London,February,2020
First Open: Post-War and Contemporary Art Online,London,February,2020
Interiors,New York,February,2020
Post-War and Contemporary Art Day Sale,London,February,2020
Jewels Online,New York,February,2020
Post-War and Contemporary Art Evening Sale,London,February,2020
Picasso Ceramics,London,February,2020
Impressionist & Modern Art Day Sale,London,February,2020
Impressionist and Modern Works on Paper,London,February,2020
Christie's 100,New York,February,2020
Impressionist and Modern Art Evening Sale,London,February,2020
The Art Of The Surreal Evening Sale,London,February,2020
Paul Destribats : Bibliothèque des avant-gardes. Partie II,Paris,February,2020
Australian Art-Online,London,March,2020
"Chieveley House, Berkshire and Five Private Collections",London,March,2020
Prints & Multiples,London,March,2020
Watches Online: A New Decade of Time,New York,March,2020
Post-War to Present,New York,March,2020
Contemporary Edition,New York,March,2020
Contemporary Art Asia,New York,April,2020
Walker Evans: An American Master,New York,April,2020
Pavilion Online: Chinese Art,Hong Kong,April,2020
Jewels Online,New York,April,2020
Wine & Spirits Online/ NYC,New York,April,2020
Collection Edmond Cormier-Thierry-Delanoue (1879-1960),Paris,May,2020
Handpicked: 100 Works Selected by the Saatchi Gallery,London,May,2020
La Vie en Rose,New York,May,2020
The Art of China,London,May,2020
Dessins Anciens et du XIXème siècle,Paris,May,2020
Livres rares & Manuscrits,Paris,May,2020
Vice,New York,May,2020
The Collector : Le Goût Français,Paris,May,2020
"Sculpted by Nature: Fossils, Minerals and Meteorites",London,May,2020
Picasso Ceramics,New York,May,2020
Watches Online Including An Important Private Asian Collection Part 2,Hong Kong,May,2020
First Open | Online,New York,May,2020
Working from Home: Prints and Multiples,New York,May,2020
From Pictorialism into Modernism: 80 Years of Photography,New York,May,2020
Jewels Online,Hong Kong,May,2020
"The Collector: English & European 18th & 19th Century Furniture, Ceramics, Silver & Works of Art",New York,May,2020
Andy Warhol: Better Days,New York,May,2020
Daniel Arsham : Archeology of the Future,Hong Kong,June,2020
Design,Paris,June,2020
Jewels Online,New York,June,2020
Post-War and Contemporary Art,Paris,June,2020
Art précolombien,Paris,June,2020
"Arts d'Afrique, d'Océanie et d'Amérique du nord",Paris,June,2020
Arts of India: Heavenly Gods and Earthly Pleasures,London,June,2020
« Tendrement Vôtre » - Lettres et manuscrits autographes d'auteurs français,Paris,June,2020
Art of the Islamic and Indian Worlds Including Oriental Rugs and Carpets,London,June,2020
Handbags Online: The London Edition,London,June,2020
Art from the Kiln: Ceramics through the Centuries,London,June,2020
Art d'Asie,Paris,June,2020
Face Time: People in Art through the Ages,London,June,2020
Inspired by Nature - Fine and Decorative Arts,Paris,June,2020
Old Master Paintings and Sculpture,New York,June,2020
From Artist to Woodblock: Japanese Prints,London,June,2020
Post-War and Contemporary Art: Amsterdam,Amsterdam,June,2020
"Selections from the Library of Lorenzo H. Zambrano: Latin Americana, Science, and Literature",New York,June,2020
"The Open Book: Fine Travel, Americana, Literature and History in Print and Manuscript",New York,June,2020
European Art,New York,June,2020
Creating Space: Design Online,New York,July,2020
Handbags & Accessories,London,July,2020
"The Benjamin Ichinose Collection of Fine and Rare Wines, Online",New York,July,2020
Contemporary Edition,New York,July,2020
Important Jewels,London,July,2020
Latin American Art,New York,July,2020
Old Master Paintings & Sculpture,London,July,2020
Remastered: Contemporary Art and Old Masters,London,July,2020
Valuable Books & Manuscripts,London,July,2020
British & European Art,London,July,2020
Classic Art Evening Sale: Antiquity to 20th Century,London,July,2020
Magnificent Jewels,New York,July,2020
Nilufar [100] Design Selections,Milan,July,2020
"Finest and Rarest Wines and Spirits, Featuring a Connoisseur's Superlative Burgundy Collection",London,July,2020
First Open: Post-War & Contemporary Art Online,London,July,2020
Handbags Online: Summer in the City,New York,July,2020
Antiquities,London,July,2020
Antiquity: A Personal View,London,July,2020
Old Master & British Drawings & Watercolours,London,July,2020
Chinese Ceramics and Works of Art,New York,July,2020
Inside Job: New York Edition | Christie's Staff Art Show,New York,August,2020
Jewels Online: Summer Sparkle,New York,August,2020
Deep Impact: Lunar and Rare Meteorites,New York,August,2020
Christie's Living: August Collections,New York,August,2020
Trespassing,New York,August,2020
First Open Online,New York,August,2020
Original Air: Michael Jordan Game-Worn and Player Exclusive Sneaker Rarities,New York,August,2020
"The Athlete: Photographs by Walter Iooss, Jr.",New York,August,2020
American Art Online,New York,August,2020
Jewels Online,New York,August,2020
Note to Self: The Art of Contemplation,London,August,2020
Watches Online: The Collector's Edition,New York,August,2020
An Aristocratic Chateau on the Côte d'Azur,London,August,2020
Latin American Art Online,New York,August,2020
Contemporary Art Asia,New York,September,2020
Couture for Change: Ronald van der Kemp (RVDK) Couture Face masks in Aid of Refugee Company,Amsterdam,September,2020
Photographs,New York,September,2020
Watches Online Including An Important Private Asian Collection Part IV,Hong Kong,September,2020
Modern British Art,London,September,2020
Sacred and Imperial: The James and Marilynn Alsdorf Collection Online,New York,September,2020
Swiss Art Online Sale,Zürich,September,2020
A Lasting Engagement: The Jane and Kito de Boer Collection Online,New York,September,2020
Important Chinese Ceramics and Works of Art,New York,September,2020
"Indian, Himalayan & Southeast Asian Works of Art",New York,September,2020
Sacred and Imperial: The James and Marilynn Alsdorf Collection Part I,New York,September,2020
Sacred and Imperial: The James and Marilynn Alsdorf Collection Part II,New York,September,2020
Snowdon: A Life in Art and Objects,London,September,2020
A Lasting Engagement: The Jane and Kito de Boer Collection,New York,September,2020
Banksy: I can't believe you morons actually buy this sh*t,London,September,2020
Contemporary Edition,London,September,2020
Devotion in Stone: Gandharan Masterpieces from a Private Japanese Collection,New York,September,2020
South Asian Modern + Contemporary Art,New York,September,2020
"Collections : Provenant de la villa « Les Cèdres » à Saint Jean Cap Ferrat, des collections de SAR la princesse Murat, de la succession de Madame Françoise Heftler et des collections Henri Klinger",Paris,September,2020
Japanese and Korean Art,New York,September,2020
